id,nama,jenis_node
43503813,GEGIGO GIDUGAGI,OP
41009010,GEGA  DO GA ,OP
42772520,GEGUDIDIGUGOGU ,OP
43311353,GEGIGIGAGAGIGOGI,OP
42578218,GEGUGODIDUGUGADU,OP
44146517,GEGEGAGEDAGOGADI,OP
42762230,GEGUDIDAGUGUGI ,OP
42041884,GEGU GEGADUDUGE,OP
44080100,GEGE DU GA  ,OP
44838311,GEGEDUGIDUGIGAGA,OP
41102306,GEGAGA GUGI DA,OP
43093955,GEGI DOGIDOGOGO,OP
42648833,GEGUDAGEDUDUGIGI,OP
43921670,GEGIDOGUGADADI ,OP
45060667,GEGO DA DADADI,OP
42059901,GEGU GODODO GA,OP
41494146,GEGAGEDOGEGAGEDA,OP
42851615,GEGUDUGOGADAGAGO,OP
44374506,GEGEGIDIGEGO DA,OP
42687073,GEGUDADUDI DIGI,OP
41139221,GEGAGAGIDOGUGUGA,OP
40149105,GE GAGEDOGA GO,Badan
40570884,GE GODI DUDUGE,Badan
42035945,GEGU GIGODOGEGO,OP
39845995,GIDODUGEGODODOGO,Badan
40007890,GE   DIDUDO ,Badan
40037297,GE  GIDIGUDODI,Badan
40292324,GE GUDOGUGIGUGE,Badan
40915330,GE DOGAGOGIGI ,Badan
40094333,GE  DOGEGIGIGI,Badan
40209539,GE GU DOGOGIDO,Badan
40630947,GE DAGI DOGEDI,Badan
40906856,GE DO DADUGODA,Badan
40130251,GE GAGI GUGOGA,Badan
40808733,GE DU DUDIGIGI,Badan
40211481,GE GUGAGAGEDUGA,Badan
40620006,GE DAGU   DA,Badan
40697503,GE DADODIGO GI,Badan
40093904,GE  DOGIDO GE,Badan
40991369,GE DODOGAGIDADO,Badan
40796824,GE DIDODADUGUGE,Badan
40425589,GE GEGUGOGODUDO,Badan
40966015,GE DODADA GAGO,Badan
39508378,GIDOGO DUGIDIDU,Badan
40930795,GE DOGI DIDOGO,Badan
40246709,GE GUGEDADI DO,Badan
39835663,GIDODUGIGODADAGI,Badan
40554487,GE GOGOGEGEDUDI,Badan
39554031,GIDOGOGOGE GIGA,Badan
39730293,GIDODIGI GUDOGI,Badan
39735249,GIDODIGIGOGUGEDO,Badan
40080343,GE  DU GIGEGI,Badan
40554382,GE GOGOGEGIDUGU,Badan
39587345,GIDOGODUDIGIGEGO,Badan
40278834,GE GUDIDUDUGIGE,Badan
40377954,GE GIDIDIDOGOGE,Badan
40749007,GE DIGEDO  DI,Badan
40167285,GE GADADIGUDUGO,Badan
40889284,GE DUDUDOGUDUGE,Badan
39655107,GIDODAGOGOGA DI,Badan
39506552,GIDOGO DAGOGOGU,Badan
39658381,GIDODAGODUGIDUGA,Badan
45369633,GEGOGIDADODAGIGI,Badan
39669226,GIDODADADOGUGUDA,Badan
40679995,GE DADIDODODOGO,Badan
40235578,GE GUGIGOGODIDU,Badan
39723854,GIDODIGUGIDUGOGE,Badan
40945099,GE DOGEGO DODO,Badan
40862488,GE DUDAGUGEDUDU,Badan
39989113,GIDODODUDOGAGAGI,Badan
40808011,GE DU DU GAGA,Badan
39984846,GIDODODUGEDUGEDA,Badan
